FILMTX2320,Film and Television Studies,2320
FRENAX2320,French,2320
GENDRZ2320,Gender Studies,2320
GEOPHX2320,Geography,2320
GERMAX2320,German,2320
HISTOX2320,History,2320
INDOAX2320,Indonesian,2320
INTERX2320,International Relations,2320
JAPNAX2320,Japanese,2320
JOURMX2320,Journalism and Mass Communication,2320
KOREAX2320,Korean,2320
LATINZ2320,Latin American Studies,2320
LINGUX2320,Linguistics,2320
MATHEX2320,Mathematics,2320
MDIGCX2320,Media and Digital Cultures,2320
MUSICX2320,Music,2320
MUPSYZ2320,Music Psychology,2320
PEACEX2320,Peace and Conflict Studies,2320
PHILOX2320,Philosophy,2320
POLISX2320,Political Science,2320
POPMTX2320,Popular Music and Technology,2320
PROWRX2320,Professional Writing and Communication,2320
PSYCHX2320,Psychology,2320
PUBPLX2320,Public Policy,2320
RUSSIX2320,Russian,2320
SOCIOX2320,Sociology,2320
SPANAX2320,Spanish,2320
SPORTX2320,Sports Studies,2320
STUACZ2320,Studies in Australian Culture,2320
RELIGX2320,Studies in Religion,2320
WRITIX2320,Writing,2320
AGRONX2390,Agronomy,2390
HORTIX2390,Horticulture,2390
LVPLTX2390,Livestock and Poultry Science,2390
ANCHHX2066,Ancient History/History,2066
CHINAX2066,Chinese,2066
CHITIX2066,Chinese Translation and Interpreting,2066
CRIMIX2066,Criminology,2066
DRAMAX2066,Drama,2066
ECONOX2066,Economics,2066
ENGLIX2066,English,2066
FILMTX2066,Film and Television Studies,2066
FRENAX2066,French,2066
GEOPHX2066,Geography,2066
GERMAX2066,German,2066
JAPNAX2066,Japanese,2066
MATHEX2066,Mathematics,2066
MDIGCX2066,Media and Digital Cultures,2066
MUSICX2066,Music,2066
MUSICY2066,Music,2066
SPANAX2066,Spanish,2066
ABORIX2206,Aboriginal and Torres Strait Islander Studies,2206
ANCIEY2206,Ancient History,2206
ANCIEX2206,Ancient History,2206
ANCHHX2206,Ancient History/History,2206
ANTHRX2206,Anthropology,2206
ANTHRY2206,Anthropology,2206
ARCHAX2206,Archaeology,2206
ARCHAY2206,Archaeology,2206
ARTHIX2206,Art History,2206
ARTHIY2206,Art History,2206
CHINAX2206,Chinese,2206
CHINAY2206,Chinese,2206
CHITIX2206,Chinese Translation and Interpreting,2206
CHITIY2206,Chinese Translation and Interpreting,2206
CLLATX2206,Classical Languages,2206
CLLATY2206,Classical Languages,2206
CRIMIX2206,Criminology,2206
CRIMIY2206,Criminology,2206
DRAMAX2206,Drama,2206
DRAMAY2206,Drama,2206
ECONOX2206,Economics,2206
ECONOY2206,Economics,2206
ENGLIX2206,English,2206
ENGLIY2206,English,2206
ENLITX2206,English Literature,2206
ENLITY2206,English Literature,2206
EVENTX2206,Event Management,2206
FILMTX2206,Film and Television Studies,2206
FRENAX2206,French,2206
FRENAY2206,French,2206
GENDRZ2206,Gender Studies,2206
GEOPHX2206,Geography,2206
GEOPHY2206,Geography,2206
GERMAX2206,German,2206
GERMAY2206,German,2206
HISTOX2206,History,2206
HISTOY2206,History,2206
HOTELX2206,Hospitality Management,2206
INDOAX2206,Indonesian,2206
INDOAY2206,Indonesian,2206
INTERX2206,International Relations,2206
INTERY2206,International Relations,2206
ITALIX2206,Italian,2206
JAPNAX2206,Japanese,2206
JAPNAY2206,Japanese,2206
JOURMX2206,Journalism and Mass Communication,2206
KORNAX2206,Korean,2206
KORNAY2206,Korean,2206
LATINZ2206,Latin American Studies,2206
LINGUX2206,Linguistics,2206
LINGUY2206,Linguistics,2206
MATHEX2206,Mathematics,2206
MATHEY2206,Mathematics,2206
MDIGCX2206,Media and Digital Cultures,2206
MUSICY2206,Music,2206
